Frame,Age,Gender,Emotion,Race,Confidence,InferenceTime
10,28,Man,surprise,white,0.76244664,5328.972101211548
20,27,Man,surprise,white,0.9999757,801.3670444488525
30,28,Man,neutral,white,0.96522737,1506.6184997558594
40,27,Man,surprise,white,0.99999094,793.9927577972412
50,28,Man,sad,white,0.9077461,817.1935081481934
60,29,Man,happy,white,0.5201882,865.4611110687256
70,30,Woman,happy,white,0.9979543,780.4195880889893
80,30,Man,happy,white,0.9268745,1529.4246673583984
90,31,Woman,happy,white,0.95724344,1577.5504112243652
100,31,Man,neutral,white,0.46394616,746.0966110229492
110,32,Man,happy,white,0.49304733,744.7426319122314
120,31,Man,sad,white,0.43745548,752.2532939910889
130,31,Man,neutral,white,0.7952736,1514.6000385284424
140,31,Man,fear,white,0.490709,840.5613899230957
150,30,Man,angry,white,0.50044566,802.8030395507812
160,30,Man,neutral,white,0.57150483,805.9298992156982
170,30,Man,happy,white,0.9269693,764.617919921875
180,29,Man,neutral,white,0.36741024,2170.8312034606934
190,28,Man,sad,white,0.6315678,799.3695735931396
200,27,Man,sad,white,0.6643484,741.157054901123
210,26,Man,fear,white,0.58361506,742.8646087646484
220,27,Man,happy,white,0.9500004,742.1169281005859
230,28,Woman,sad,white,0.9428651,1484.4470024108887
240,28,Man,surprise,white,0.9995922,799.8673915863037
250,28,Man,surprise,white,0.9995777,797.2307205200195
260,27,Man,surprise,white,0.9528171,816.1101341247559
270,27,Man,happy,white,0.9714477,752.9752254486084
280,28,Man,happy,white,0.43352973,735.1269721984863
290,28,Man,happy,white,0.99780846,809.4110488891602
300,29,Woman,fear,white,0.5506869,748.032808303833
310,30,Woman,fear,white,0.9394295,748.7552165985107
320,29,Man,fear,white,0.9062011,1404.839277267456
330,29,Man,sad,white,0.5941111,752.8421878814697
340,29,Man,fear,white,0.8394789,752.3190975189209
350,29,Man,neutral,white,0.7067328,1426.7711639404297
360,29,Man,surprise,white,0.9420926,763.2660865783691
370,28,Man,surprise,white,0.7569668,743.5667514801025
380,28,Man,fear,white,0.8074313,742.3841953277588
390,28,Man,happy,white,0.88990235,733.640193939209
