Frame,Age,Gender,Emotion,Race,Confidence,InferenceTime
10,40,Man,neutral,white,0.9969207,3720.601797103882
20,37,Man,neutral,white,0.6949485,571.4902877807617
30,36,Man,neutral,white,0.71817815,576.0562419891357
40,36,Man,neutral,white,0.58240926,576.9901275634766
50,36,Man,neutral,white,0.86407983,568.772554397583
60,36,Man,neutral,white,0.66007537,552.0031452178955
70,36,Man,neutral,white,0.83156395,551.5539646148682
80,36,Man,neutral,white,0.99144053,568.3677196502686
90,37,Man,neutral,white,0.9445818,568.7954425811768
100,37,Man,neutral,white,0.9941161,568.0749416351318
110,37,Man,happy,white,0.90831596,537.5323295593262
120,38,Man,happy,white,0.81449914,568.6511993408203
130,39,Man,happy,white,0.76429284,566.6284561157227
140,39,Man,happy,white,0.5147534,568.9873695373535
150,40,Man,happy,white,0.81127477,568.8235759735107
160,40,Man,happy,white,0.54975355,569.469690322876
170,40,Man,happy,white,0.9786992,568.0174827575684
180,41,Man,happy,white,0.86571723,553.0269145965576
190,41,Man,happy,white,0.96301126,552.1559715270996
200,41,Man,happy,white,0.99957955,567.8541660308838
210,41,Man,happy,white,0.998622,568.8533782958984
220,41,Man,happy,white,0.99196464,566.8041706085205
230,40,Man,happy,white,0.9527689,552.4845123291016
240,40,Man,happy,white,0.74015546,552.6413917541504
250,40,Man,happy,white,0.8072959,552.7286529541016
